City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
college,64.8569,-147.8028,5.0,65.0,20,1.61,US,1613183162.0
boende,-0.2167,20.8667,75.0,70.0,100,1.3,CD,1613183164.0
martapura,-3.4167,114.85,82.4,83.0,40,4.61,ID,1613183166.0
east london,-33.0153,27.9116,74.79,80.0,12,11.63,ZA,1613183168.0
clearwater,27.9659,-82.8001,72.0,94.0,100,4.32,US,1613183170.0
vanavara,60.34,102.2797,-17.27,88.0,100,3.27,RU,1613183172.0
rikitea,-23.1203,-134.9692,80.46,71.0,7,10.07,PF,1613183031.0
barrow,71.2906,-156.7887,-9.4,70.0,90,6.91,US,1613183178.0
chai nat,15.1167,100.1,84.0,60.0,0,7.16,TH,1613183180.0
la ronge,55.1001,-105.2842,-23.8,69.0,27,1.07,CA,1613183183.0
ballangen,68.3428,16.8315,30.0,93.0,40,3.44,NO,1613183187.0
khipro,25.8285,69.3772,62.55,26.0,8,6.53,PK,1613183189.0
chuy,-33.6971,-53.4616,70.97,89.0,100,10.45,UY,1613183182.0
port macquarie,-31.4333,152.9167,73.4,94.0,90,5.75,AU,1613183193.0
butaritari,3.0707,172.7902,81.27,83.0,0,12.01,KI,1613183195.0
port alfred,-33.5906,26.891,75.0,94.0,74,4.0,ZA,1613183032.0
atuona,-9.8,-139.0333,78.93,79.0,1,15.77,PF,1613183201.0
bluff,-46.6,168.3333,73.0,54.0,91,4.0,NZ,1613183159.0
aklavik,68.2191,-135.0107,1.4,78.0,77,3.44,CA,1613183206.0
vaini,-21.2,-175.2,86.0,74.0,75,8.05,TO,1613183208.0
cape town,-33.9258,18.4232,66.99,88.0,0,1.14,ZA,1613183210.0
castro,-42.4721,-73.7732,55.99,76.0,0,9.22,CL,1613183212.0
tezu,27.9167,96.1667,71.38,22.0,22,0.98,IN,1613183214.0
jamestown,-15.9387,-5.7168,68.31,88.0,16,15.79,SH,1613183216.0
bontang,0.1333,117.5,82.42,74.0,98,3.44,ID,1613183218.0
mandurah,-32.55,115.7,82.0,46.0,0,2.89,AU,1613182945.0
port lincoln,-34.7333,135.8667,68.36,59.0,26,8.59,AU,1613183222.0
mahebourg,-20.4081,57.7,78.8,78.0,40,11.5,MU,1613183224.0
yellowknife,62.456,-114.3525,-18.0,83.0,1,4.61,CA,1613183229.0
mnogovershinnyy,53.9353,139.9242,15.42,97.0,100,0.72,RU,1613183231.0
ushuaia,-54.8,-68.3,57.2,51.0,75,12.66,AR,1613182986.0
geraldton,-28.7667,114.6,93.2,31.0,40,21.85,AU,1613183239.0
